Article Title,Author Keywords,Keywords Plus,Abstract
Identifying Students at Risk of Failing a Subject by Using Learning Analytics for Subsequent Customised Tutoring,learning analytics; customised tutoring; learning adaptation; virtual classroom,BIG DATA; EXPERIENCE; MODEL,"Learning analytics (LA) has become a key area of study in educology, where it could assist in customising teaching and learning. Accordingly, it is precisely this data analysis technique that is used in a sensor-AnalyTIC-designed to identify students who are at risk of failing a course, and to prompt subsequent tutoring. This instrument provides the teacher and the student with the necessary information to evaluate academic performance by using a risk assessment matrix; the teacher can then customise any tutoring for a student having problems, as well as adapt the course contents. The sensor was validated in a study involving 39 students in the first term of the Environmental Engineering program at the Cooperative University of Colombia. Participants were all enrolled in an Algorithms course. Our findings led us to assert that it is vital to identify struggling students so that teachers can take corrective measures. The sensor was initially created based on the theoretical structure of the processes and/or phases of LA. A virtual classroom was built after these phases were identified, and the tool for applying the phases was then developed. After the tool was validated, it was established that students' educational experiences are more dynamic when teachers have sufficient information for decision-making, and that tutoring and content adaptation boost the students' academic performance."
Does competency-based education with blockchain signal a new mission for universities?,Learning analytics; artificial intelligence; mission strategy; soft skills; authentic assessment,LEARNING ANALYTICS,"New technologies and the knowledge economy are destabilising graduate professions, with artificial intelligence and the analysis of 'big data' making significant impacts on formerly secure jobs. Blockchain technology, offering automated secure credentialling of undergraduate students' activities and achievements, may significantly erode existing systems of assessment. The challenge for universities will be not only to maintain the relevance of their curricula but also to manage erosion of their current near-monopoly in awarding degrees. This paper envisions a landscape in which universities must outsource parts of their course delivery and assessment in order to remain competitive. It examines a potentially sustainable mission strategy: to move away from narrow academic disciplines towards an authentic learning curriculum focusing on the development of students as whole persons with rounded educations. This paper examines implications for the academy of the convergence of artificial intelligence, data analytics and blockchain technology."
"Kratos: A secure, authenticated and publicly verifiable system for educational data using the blockchain",educational data mining; learning analytics; data privacy; blockchain; distributed data management systems,,"Growing interest in educational data mining (EDM) and learning analytics (LA) to leverage big data and to benefit education and the science of learning has made data ownership an important focus point for institutions and students. While EDM and LA can provide important information that help enhance the quality of teaching and learning, it has become critical to ensure data privacy and student agency over data. In this paper, we introduce Kratos: an immutable and publicly verifiable data management system that enables EDM and LA, while maintaining data privacy and empowering students with a user interface for data governance and participation in school processes. The system aims to achieve data interoperability, which facilitates EDM and LA as incentives to educational stakeholders (policy makers, educators, developers of education technologies, etc.), while prioritizing student agency over their data. Our system gives students and schools an immutable log along with comprehensive access to data that is otherwise scattered across systems and vendors. The underlying set of rules of the system are defined in a set of smart contracts, codified from existing non virtual agreements [1] between schools and education technology (edutech) vendors. We propose the smart contracts to be deployed on a public blockchain (like Ethereum or Bitcoin), for notarizing and time-stamping various interactions which users of Kratos may have with data Third parties requesting access to school data have a unique virtual token assigned to them on the blockchain which helps keep track of data modifications, access and use."
Academic Analytics as an Instrument for Data-Driven Innovations at HEIs,Academic Analytics; Educational Big Data; Performance Prediction; Educational Data Science; Data-driven Decisions,EDUCATION; COURSES,"The problem of smooth and synchronous integration of various types of e-learning and online courses, internships and extra-curricular activities into blended, systematic adaptive educational environment is becoming a new paradigm in innovations in educational process of higher education institutions (HEIs). But there are few studies that consistently discuss the impact of the systems providing analysis of educational outcomes (academic analytics systems) on quality of education and provision of integrated educational environment. This paper investigates role, application and taxonomy of academic analytics systems applied to the process of implementing innovative strategies in Higher Education. Such systems are intended to extract meaningful information from multiple data sources (learning management and content systems (LMS and LCS), online courses and other) to predict, cluster, find relations, and prepare data for decision making process aimed at creating knowledge crucial for improving the quality of educational process in HEIs. Academic analytics incorporate three main types of systems: Learning Analytics (LA), Educational Data Mining (EDM) and Educational Big Data (EBD) systems. As academic analytics research field is rapidly developing even though a considerable number of papers have provided substantial insight on the theoretical basis of LA, EDM and EBD systems, taxonomy, classification and differentiation of types of the systems are still undefined and often overlap. The main research question of the study is to examine the classification of academic analytical systems in higher education according to the needs and goals of universities and investigate impact of academic analytics in blending different types of educational activity and creation of integrated educational environment. Our findings are based on the analysis of papers on learning analytics in higher education published between 2010 and 2018."
Big Data and International Accreditations in Higher Education: A Dutch - Russian Case Study,Big Data; International Accreditation; Quality of Higher Education; University Global Competitiveness,LEARNING ANALYTICS; BENEFITS,"This comparative study paper seeks to document how with the help of Big Data different aspects of International Accreditations are perceived by both Plekhanov Russian University of Economics and HAN University of Applied Sciences (Arnhem Business School), the Netherlands faculty and higher management. This paper is looking at bringing advice and helping the chosen universities with their international accreditations processes by demonstrating the importance of Big Data. The importance of Big Data and International Accreditations to both universities will be accounted for in this paper. In comparison to current research on Big Data in higher education, this work focuses on the goal of preparing the universities for future academic international accreditations. It is a comparative study where is meant to learn from best practices rather than to generalize and extrapolate results. On a conceptual way, this paper contributes to knowledge by attempting to develop a strategic planning of the international accreditations process by determining the best practices using Big Data while creating a process for internationalization to increase the universities' global competitiveness."
Learning Analytics - Need of Centralized Portal for Access to E-Learning Resources,open educational resources; school education; centralized access portal; learning analytics; Big Data,IMAGES,"Recently, e-learning resources become widespread in school education worldwide, as they are a prerequisite for an efficient learning process. These resources are scattered across many websites and their search takes too long. Despite their diversity, often it is difficult for teachers to find the proper resources. After analyzing the findings of an anonymous online survey of Bulgarian teachers on the use of ICT and e-learning resources, researchers identified the need for easy access to various e-resources for school education. The paper offers a concept for a centralized access portal where users to upload links to e-learning resources that are shortly described and classified according to several indicators. These include accessibility, type, subject, school grade, purpose and other meaningful parameters. Free registration for teachers and students will allow data to be aggregated by user groups, to carry out analyzes of the resources' usage, to draw trends, and to make conclusions for future policies."
Method and System Constructing for Learning Situation Early Warning based on Data Mining Techniques,learning situation big data; under-performing learning situation evaluation; learning failure risk early warning; educational data mining,PERFORMANCE; PREDICTION; ANALYTICS; STUDENTS,"At present, there are some problems in early warning of student learning situation, such as single assessment index, outdated technology method, lack of specialized information support system, time-delayed evaluation feedback and etc. In order to deal with these problems, in this study a complete learning situation evaluation and early warning system is proposed based on data mining techniques, which consists of evaluation index system, learning failure risk early warning model, result visualization method, and information support system. The result of this study can help improve the whole efficiency and effectiveness of early warning education for colleges and universities, enhance learning quality and success rate for students, and promote the deep integration of information technology and education practice, so it is of both academic and practical reference significance."
"TOOLBOX.ACADEMY: CODING & ARTIFICIAL INTELLIGENCE MADE EASY FOR KIDS, BIG DATA FOR EDUCATORS",text-based programming; mainstream programming languages; problem-solving; curricular subjects; open formats; simplified coding environments; learning analytics; big data,,"Society has reached the point where there is considerable awareness about the need of teaching coding skills at the schools. Both, political leaders and educational systems start taking positions in this strategic new arena, but they lack from much of the expertise and necessary tools about how to teach this complex (but also intuitive to children and youngsters) field of knowledge. In this context, ToolboX Academy is a programming platform which subscribes a slightly new approach to attack the problem, in four differential aspects: 1) While most attention focuses on block-based approaches (Scratch and Code.org being the most popular initiatives), ToolboX embraces coding as it works for developers: text-based programming; 2) ToolboX embeds mainstream programming languages, which are widely used, are supported by big communities, are weakly typed, and closer to human natural language, like it is Javascript, for web applications, and GNU Octave, in engineering and scientific research; 3) it provides user-oriented problem-based learning, designed upon educational research results; and 4) it integrates curricular subjects in learning to code. In this paper, we review the design constraints taken into account to develop ToolboX Academy, and how it has been tested in the classroom. Some features are particularly stressed, like the use of open formats for content representation (definition of tasks or problems); the design of a simplified environment to represent most CS concepts, from basic loops to complex graph traversal strategies; and the use of learning analytics based on big data algorithms that can help educators and managers to learn from the interaction of their students with this environment."
DATA EXPLOITATION IN INTEGRATED DEVELOPMENT ENVIRONMENTS USED IN COMPUTER SCIENCE TEACHING,learning analytics; computer science teaching; E-learning 2.0,BIG DATA,"In web 2.0 era, the use of technology to learn has benefited from all its influence giving therefore birth of the e-learning 2.0 concept. As a result, teaching and learning are eventually taking place in social and interactive environments giving a virtual presence of the actors (teacher, student, etc.) as well as their interactions. These latter are often represented as data, which open up promising opportunities for their exploitation to improve teaching and learning operations. Nowadays, Learning Management Systems, Massive Open Online Courses and Tutoring Systems are the most exploited environment to extract useful data. Several researches are conducted to exploit data and interactions in measuring learner engagement, predicting analysis, early detection and many other applications. In another context and evermore in E-learning 2.0 field, our team has developed a collaborative social web IDE (Integrated Development Environment) to be used in practical computer science teaching. This environment virtualizes the sequence of practical work. It also enables the collaboration between student and teacher and students themselves. The use of our IDE in practical programming work has demonstrated a set of advantages. The results of its evaluation have been published in a prior work. In the presence of a rich interaction environment, where interactions are related to programming teaching in higher education. We aim to expand the use of our IDE in order to improve this operation by harnessing the data that we can collect in it. The first step, is to define the learning analytics specific to this operation that will allow us to collect useful data. We believe that after processing this data we will be able to exploit it to improve the operation of teaching and learning. The purpose of this work is to define a road map of the data that can be collected from web IDEs used in teaching as well as the possibilities of exploiting them."
crsra: A Learning Analytics Tool for Understanding Student Behaviour in Massive Open Online Courses,MOOCs; learning analytics tools; R package; big data in education; student progress,TRENDS,"Due to the fundamental differences between traditional education and massive open online courses (MOOCs), and because of the ever-increasing popularity of the latter, more research is needed to understand current and future trends in MOOCs. Although research in the field has grown rapidly in recent years, one of the main challenges facing researchers remains the complexity and messiness of the data. Therefore, it is imperative to provide tools that pave the way for more research on this new subject. This paper introduces a package called crsra based on the statistical software R to help tidy and perform preliminary analysis on massive loads of data provided by Coursera. The advantages of the package are as follows: (a) faster loading and organizing of data for analysis, (b) an efficient method for combining data from multiple courses and even from across institutions, and (c) provision of a set of functions for analyzing student behaviours."
Investigating Learners' Perception of Learning Analytics Dashboard to Improve Learning Interaction in Online Learning System,learning analytics; learning interaction; learner's perception,,"Big data has changed the approach in designing an e-Learning. When students interact with e-Learning content, automatically generating data, we can collect and trace their learning tracks. The data is processed and analyzed, then used to understand the behavioral characteristics of the user or student to enable a personalized learning experience. In this study, learning analytics dashboard was used to improve learning interaction which impacts the learning successfulness. Tests were conducted on 67 students in the Educational Technology Department of the State University of Malang and distributed questionnaires and then analyzed using descriptive methods. The result is that most of the students who take online learning using the learning analytics dashboard find it helpful to carry out self-evaluations of their interaction hence they can manage their learning. The results of the study showed that most participants agreed that LAD could provide information to them regarding their interactions with learning content (M = 4.15, SD = 0.557), learning environment (M = 4.13, SD = 0.457), as well as the participants could conduct problem identification during their learning process (M = 3.88, SD = 0.477)."
INTEGRATING LIFELONG LEARNING WITHIN THE SMART CITY PARADIGM,Lifelong Learning; Technology Enhanced Learning; Smart cities; e-Learning; Smart learning; Massively Open Online Courses,,"This paper considers the role of lifelong learning in modern society within a technology enhanced learning mediated environment and the impact of the dependence on technology on the strategic design of learning systems. The role of lifelong learning in modern economies and the diversity of activities associated with lifelong learning requires targeted resourcing and understanding of the meaning of lifelong learning. The hegemony of technology enhanced learning in modern education is accepted as a de-facto component in the design of any learning programme, however the pedagogical paradigms may not be fully understood. The literature on the nexus between the technology enhanced learning and the smart city emphasises the technology while focusing on learning analytics and big data applications. Evidence of the pedagogical paradigm requirements is not quite so visible and this lack of understanding of the complete model has the potential to create tensions in the design of lifelong learning systems. A project-based methodology over 2 years was employed via 8 collaborative learning programmes involving more than 500 participants drawn from high school and college graduate levels. All projects were designed to provide authentic learning experiences where participants were divided into groups of 6 to 8 in a supported open learning community environment. Each authentic project was designed to immerse the participants in a practical oriented and socially significant programme of learning. During the process the participants demonstrated mastery and socially aware interaction. The agency of active learning is considered in the sense of the triune of human, education and economic, systems for the sustainable growth of a knowledge economy."
LEARNING ANALYTICS FROM THE TEACHER'S PERSPECTIVE: A MOBILE APP,Learning Analytics; student big data; mobile app; teacher,IMPLEMENTATION; DESIGN,"The wide range of data produced by participants in the learning processes led to increased interest in the collection and analysis of data to support data-driven decision making at all levels of educational institutions. The paper is devoted to the emerging field of Learning Analytics from the teacher's perspective. It proposes a set of indicators that Learning Analytics should provide to help teachers be more reflective in their teaching practice, to improve the quality of education provided in their courses and relevance of the learning materials, to discover more about students' learning, to track and predict students' performance, to identify potential issues and students at risk. A mobile application that allows teachers to trace out the values of these indicators on the basis of data gathered from learning management system is designed and implemented. The application captures, analyses and visualizes data in order to help teachers identify the opportunities for improvements of the quality of courses and enhancing of performance of their students. Using the application, teachers are able to keep track on activity and progress of their students, adherence to the learning schedule, as well as to quickly identify students who are at risk for failing or dropping out at an earlier stage than it otherwise would be possible."
Supervised Learning in the Context of Educational Data Mining to Avoid University Students Dropout,Educational Data Mining; Big Data; Machine Learning; University Dropout,,"Educational data mining is a research field that looks for extracting useful information from large educational datasets. This area provides tools for improving student retention rates around the world. In this paper we propose a computational approach using educational data mining and different supervised learning techniques (Decision Trees, K-nearest Neighbor, Neural Networks, Support Vector Machines, Naive Bayes and Random Forests) to evaluate the behaviour of different prediction models in order to identify the profile of at-risk university students in a Brazilian university environment. The results of this paper indicate that some algorithms can be used as tools for supporting decisions that reduce school dropout."
Towards Open Data in Digital Education Platforms,open data; data management; data sharing; privacy; education; learning analytics; open research,,"Despite the traction gained by the open data movement and the rise of big data and learning analytics in education, there is limited support for researchers in education to generate, access, and share experimental data using openly-available digital education platforms. To explore how this gap could he addressed and elicit requirements, we conducted a survey with 40 researchers in the field of technology-enhanced learning, examining their experience and needs handling research data. Drawing on the results of our survey, we devised a set of features that educational platforms should provide to address the identified requirements, enabling researchers in education to run studies within typical learning environments, adhere to legal and ethical frameworks concerning privacy, and share their data confidently with a wider audience. We then categorized these features into five stages that represent the user flow, namely (1) Bootstrapping Research Studies, (2) Ensuring Consent, (3) Gathering Data, (4) Managing Data Sets, and (5) Supporting Open Research and Collaboration. Our aim is to guide forthcoming research and developments to relieve researchers of the burdens of conducting data-sensitive experiments, support the adoption of hest practices, and pave the way for open data policies in digital education."
LEARNING ANALYTICS FOR PROGRAMMING EDUCATION: OBSTACLES AND OPPORTUNITIES,Learning analytics; Programming education; Programming; Obstacles; Opportunities,,"During recent years the field of Learning Analytics have been frequently mentioned in discussions of addressing challenges in education, as well as a means to analyse and draw upon students' strengths in educational contexts. Prognoses for the future labour market show an increasing need of programmers, yet studies show that programming education struggle with student dropout, poor academic performance and low pass rates. The aim of this study was to analyse and discuss potential obstacles and opportunities in using learning analytics tools for forecasting student success in relation to course outcomes in programming education. This study was carried out as a literature review with a theorical framework for Learning Analytics presented by Yassine, Kadry and Sicilia (2016) in A framework for learning analytics in moodle for assessing course outcomes. In 2016 IEEE Global Engineering Education Conference (EDUCON) (pp. 261-266). IEEE. as the basis for a content analysis with deductive coding. Main keywords in the literature search was: learning analytics, programming, education, course, tool, obstacles, opportunities. Keywords were combined with the Boolean operators and and or. The literature search was limited to recently published research (between years 2015 and 2019). The study shows that learning analytics tools, if thoughtfully used, is an opportunity to forecast student success and improve educational design, both from the student perspective and from the teacher perspective. Learning analytics tools does not necessarily have to build on quantitative big data analyses only. From a teacher perspective it could be more valuable with a mixed method approach in the strive to improve existing course design. As pointed out in several research studies students' and teachers' integrity have to be respected. Today's virtual learning environments provide huge amounts of learning data, but as in all other types of research, this should build on informed consent. Finally, in a new approach of learning analytics the analyses preferably should include some teaching analytics as well, to better improve course design and learning outcomes."
Educational data mining: A tutorial for the rattle package in R,Educational data mining; rattle; Decision tree; Random forest; Support vector machines,CLASSIFICATION; ANALYTICS,"Educational data mining (EDM) has been a rapidly growing research field over the last decade and enabled researchers to discover patterns and trends in education with more sophisticated methods. EDM offers promising solutions to complex educational problems. Given the rapid increase in the availability of big data in education and software programs to analyze big data, the demand for user-friendly, free software programs to implement EDM methods also continues to increase. The R programming language has become a popular environment for data mining due to its availability and flexibility. The rattle package in R contains a set of functions to implement data mining with a graphical user interface. This study demonstrates three widely used data mining algorithms (classification and regression tree, random forest, and support vector machine) in EDM using real data from the 2015 administration of the Programme for International Student Assessment (PISA). First, a brief introduction to EDM is provided along with the description of the selected data mining algorithms. Then, how to perform data mining analysis using the rattle's graphical user interface is demonstrated. The study concludes by comparing the results of the selected data mining algorithms and highlighting how those algorithms can be utilized in the context of educational research."
Preview Analytics of ePUB3 eBook-based Flipped Classes Using a Big Data Approach,Flipped learning; Preview analytics; ePUB3 eBook; Big data BOOCs platform,LEARNING ANALYTICS; PERFORMANCE; MOTIVATION,"Flipped learning has been commonly used to provide students with learning contents inside/outside classrooms. It encourages students to preview learning contents before their classes. Thereafter, learning activities are taken in classes with instructions or help from the teacher. An important issue in the success of flipped learning is the effectiveness of students' preview because it affects the subsequent learning activities in their classes. Fortunately, for ePUB3 eBooks used in flipped classes, the embedded track and test functions can be used to track the accesses and tests taken on these eBooks. As such, the teacher can capture the effectiveness of students' preview by checking their pre-class accesses and tests, and hence take adequate actions for subsequent class activities. In this paper, we present an analytics approach investigating the effectiveness of students' preview. Their accesses and tests on ePUB3 eBooks are tracked, recorded, and analysed using a big data BOOCs (eBook Open Online Courses) platform. The approach is applied to a 3-class course at a university in Taiwan with 71 first-year students enrolled. As the results illustrate, the approach is useful for supporting teachers to take adequate actions in classes. Students' preview effectiveness is gradually enhanced in later classes."
Learning Analytics Research: Using Meta-Review to Inform Meta-Synthesis,Learning analytics; Metasynthesis; Educational data mining,HIGHER-EDUCATION; BIG DATA,"Research in learning analytics is proliferating as scholars continue to find better and more engaging ways to consider how data can help inform evidence-based decisions for learning and learning environments. With well over a thousand articles published in journals and conferences with respect to learning analytics, only a handful or articles exist that attempt to synthesize the research. Further, a meta-review of those articles reveals a lack of consistency in the scope of included studies, the confluence of educational data mining activities and big data as a parameter for inclusion, and the reporting of actual strategies and analytic methods used by the included studies. To fill these gaps within existing reviews of learning analytics research, this metasynthesis follows procedures outlined by Cooper to reveal developments of learning analytics research. The results include a number of metrics showing trends and types of learning analytic studies through 2017 that include which fields are publishing and to what extent, what methods and strategies are employed by these studies, and what domains remain largely yet unexplored."
An Ontological Framework for the Analysis of Constructively Aligned Educational Units,Constructive alignment; Learning analytics; Ontology,,"Higher education institutions are increasingly abandoning traditional teaching methods based on transmissive pedagogy and embracing a model based on the constructivist theory of learning. This is a necessary shift to face current challenges in their domain such as shrinking resources and need to reach students with different level of motivation and learning styles. Constructive Alignment (CA) combines the new pedagogical approach with aligned design for outcome-based teaching education and it is the leading approach under-pinning current requirements for program specification and single course description. Another important trend emerging from digitalization of higher education is the collection and use of educational data to improve all the aspects of the learning process. This research community has produced a large body of valuable tools and methods, but there is no specific contribution targeting the analysis of constructively aligned education. The CONALI ontology is an ongoing modelling effort that currently provides a framework to describe the CA body of knowledge including all the relevant semantic relationships. This paper presents a new version of such ontology that supports collection and analysis of educational data from constructively aligned educational units as a first step to fill the gap described above. The specific requirements for this iterative upgrade have been inferred from a literature review of the typical analysis conducted in the domain of educational big data."
Learning analytics: where information science and the learning sciences meet,Education; Learning; Dashboards; Educational technology; Learning analytics; Student data privacy,DASHBOARDS,"Purpose - The explosive growth in the number of digital tools utilized in everyday learning activities generates data at an unprecedented scale, providing exciting challenges that cross scholarly communities. This paper aims to provide an overview of learning analytics (LA) with the aim of helping members of the information and learning sciences communities understand how educational Big Data is relevant to their research agendas and how they can contribute to this growing new field. Design/methodology/approach - Highlighting shared values and issues illustrates why LA is the perfect meeting ground for information and the learning sciences, and suggests how by working together effective LA tools can be designed to innovate education. Findings - Analytics-driven performance dashboards are offered as a specific example of one research area where information and learning scientists can make a significant contribution to LA research. Recent reviews of existing dashboard studies point to a dearth of evaluation with regard to either theory or outcomes. Here, the relevant expertise from researchers in both the learning sciences and information science is offered as an important opportunity to improve the design and evaluation of student-facing dashboards. Originality/value - This paper outlines important ties between three scholarly communities to illustrate how their combined research expertise is crucial to advancing how we understand learning and for developing LA-based interventions that meet the values that we all share."
Design and Application of Intervention Model based on Learning Analytics under Blended Learning Environment,Intervention model; Learning analytics; Blended learning; Learning engagement,,"The arrival of big data and AI era promote educational reforms, which make personalized learning become normalization. Teaching intervention is an indispensable bridge between big data and students' personalized learning. This study proposes an intervention model based on learning analytics from four iteration modules: data collection, data processing, intervention implementation and effect evaluation, and applies it to blended learning environment. Through one-group pretest-posttest experiment design, the effect of the intervention model were measured by learning engagement and learning achievement. The results show that the intervention model can effectively improve students' behavioral engagement and cognitive engagement as well as learning achievement, especially for risky students."
Market Basket Analysis of Student Attendance Records,Educational data mining; Learning analytics; Mining student behavior,BIG DATA,"Many educational institutions enforce attendance policies, where students are expected to have their absences below a certain percentage in each class. Attendance records are collected to enforce such policies, but they are rarely utilized for anything else. In this paper, we investigate the value of analyzing the records pulled from student attendance systems. We apply a data mining technique, the market basket analysis, on student attendance data. The contribution of this analysis is the identification of student groups who share highly similar absence records. Such similarity may indicate that the students are missing classes due to peer pressure, rather than valid excuses. The presented method helps instructors and advisors discover this behavior, which is more efficient than relying on instructors, who may teach many classes. To minimize the number of false alarms, student groups are ranked based on their absence similarity. We tested our method by analyzing student attendance data for over two thousand students for one semester at a public higher education institution. The results were helpful in identifying students with miss classes due to their friends missing the classes."
It's My Data! Tensions Among Stakeholders of a Learning Analytics Dashboard,Learning analytics; early warning dashboards; higher education; student data; privacy; ethics,PRIVACY PRINCIPLES; BIG DATA; PERCEPTIONS; STUDENTS; ISSUES,"Early warning dashboards in higher education analyze student data to enable early identification of underperforming students, allowing timely interventions by faculty and staff. To understand perceptions regarding the ethics and impact of such learning analytics applications, we conducted a multi-stakeholder analysis of an early-warning dashboard deployed at the University of Michigan through semi-structured interviews with the system's developers, academic advisors (the primary users), and students. We identify multiple tensions among and within the stakeholder groups, especially with regard to awareness, understanding, access and use of the system. Furthermore, ambiguity in data provenance and data quality result in differing levels of reliance and concerns about the system among academic advisors and students. While students see the system's benefits, they argue for more involvement, control, and informed consent regarding the use of student data. We discuss our findings' implications for the ethical design and deployment of learning analytics applications in higher education."
A Learning Ecosystem for Linemen Training based on Big Data Components and Learning Analytics,Big Data; Experience API; Learning Analytics; Learning Ecosystems; Text Mining,TECHNOLOGY; EDUCATION,"Linemen training is mandatory, complex, and hazardous. Electronic technologies, such as virtual reality or learning management systems, have been used to improve such training, however these lack of interoperability, scalability, and do not exploit trace data generated by users in these systems. In this paper we present our ongoing work on developing a Learning Ecosystem for Training Linemen in Maintenance Maneuvers using the Experience API standard, Big Data components, and Learning Analytics. The paper describes the architecture of the ecosystem, elaborates on collecting learning experiences and emotional states, and applies analytics for the exploitation of both, legacy and new data. In the former, we exploit legacy e-Learning data for building a Domain model using Text Mining and unsupervised clustering algorithms. In the latter we explore self-reports capabilities for gathering educational support content, and assessing students emotional states. Results show that, a suitable domain model for personalizing maneuvers linemen training path can be built from legacy text data straightforwardly. Regarding self reports, promising results were obtained for tracking emotional states and collecting educational support material, nevertheless, more work around linemen training is required."
Raspberry PI and role of IoT in Education,IoT; Big Data; Raspberry Pi; Learning Management System; Smart Classroom; Learning Analytics,,"In this era of high and fast-moving technology, students are more demanding and willing to use innovative learning methods, also, they will be Seeing forward to living and surviving in the new environment of a smart classroom. This subject gives a framework to clarify how it can be utilized to institute a smart and innovative university campus life to improve the delivery and efficiency of everyday activities with consideration of the social and environmental interactions, and hence provide not only a smart but likewise, a sustainable campus. The use of the internet of things (IOT) is able to exchange and make use of information for students' participation and interaction with the class fellows and teachers in a very suitable way. For the educational assessment of a student's interaction, the measurement of student attentiveness is an indispensable component of it. The need for a high method for assessment also arises in the development of new technology in the mode of a new style of learning. The students experience in using the LMS Moodle for e-learning (electronic learning) so that the students get the full advantage by interacting of this technology and their learning skills increase to a high-level by using learning analytics as discussed in this report. The story explores the applicability of the Raspberry Pi development board or single board computer for teaching enhancement, IoT technologies and environments. The goal of this research is to identify and propose low-cost, efficient and flexible platform which can assist in introducing the IoT paradigm in the teaching process, as considerably as to offer the Provision to fellow students about social behavior and fellow's approachability by using Learning Management System (LMS)."
A Hybrid Infrastructure of Enterprise Architecture and Business Intelligence & Analytics for Knowledge Management in Education,Big data; business intelligence; data warehouse; educational data mining; knowledge management,METHODOLOGIES; SYSTEMS,"Advances in science and technology, the Internet of Things, and the proliferation of mobile apps are critical factors to the current increase in the amount, structure, and size of information that organizations have to store, process, and analyze. Traditional data storages present technical deficiencies when handling huge volumes of data and are not adequate for process modeling and business intelligence; to cope with these deficiencies, new methods and technologies have been developed under the umbrella of big data. However, there is still the need in higher education institutions (HEIs) of a technological tool that can be used for big data processing and knowledge management (KM). To overcome this issue, it is essential to develop an information infrastructure that allows the capturing of knowledge and facilitates experimentation by having cleaned and consistent data. Thus, this paper presents a hybrid information infrastructure for business intelligence and analytics (BI&A) and KM based on an educational data warehouse (EDW) and an enterprise architecture (EA) repository that allows the digitization of knowledge and empowers the visualization and the analysis of dissimilar organizational components as people, processes, and technology. The proposed infrastructure was created based on research and will serve to run different experiments to analyze educational data and academic processes and for the creation of explicit knowledge using different algorithms and methods of educational data mining, learning analytics, online analytical processing (OLAP), and EA analytics."
Mining CMS Log Data for Students' Feedback Analysis,Educational data mining; CMS; Moodle; Feedback system; RapidMiner; Classification; Naive Bayes classifier,,"In the current scenario of educational system, data storage and retrieval have been an important issue. Many universities have huge amount of databases which require proper mining to generate patterns and knowledge. Nowadays, several learning platforms like Moodle have implemented to achieve the need of educators, administrators, and learner. These platforms have been great assets for educators; still mining of the large data is required to uncover various interesting patterns and facts for decision-making process for the benefits of the students. This research paper examines various text classification algorithms to analyze various students' problems. After extracting useful patterns from the database, it will be very useful for the concerned authorities and institute management in making better and informed decisions for providing solutions to all those students' problems. The results obtained in our experiments are very useful to classify students' problems as well as they are used to detect other interesting patterns about the Moodle CMS data."
Analysis of student behavior in learning management systems through a Big Data framework,Learning management systems; MapReduce; Apriori algorithm; E-learning analytics; Student behavior; Big data,ANALYTICS; EDUCATION,"In recent years, learning management systems (LMSs) have played a fundamental role in higher education teaching models. A new line of research has been opened relating to the analysis of student behavior within an LMS, in the search for patterns that improve the learning process. Current e-learning platforms allow for recording student activity, thereby enabling the exploration of events generated in the use of LMS tools. This paper presents a case study conducted at the Catholic University of Murcia, where student behavior in the past four academic years was analyzed according to learning modality (that is, on-campus, online, and blended), considering the number of accesses to the LMS, tools employed by students and their associated events. Given the difficulty of managing the large volume of data generated by users in the LMS (up to 70 GB in this study), statistical and association rule techniques were performed using a Big Data framework, thus speeding up the statistical analysis of the data. The obtained results are demonstrated using visual analytic techniques, and evaluated in order to detect trends and deficiencies in the use of the LMS by students. (C) 2018 Elsevier B.V. All rights reserved."
Enabling visual community learning analytics with Internet of Things devices,Visual analytics; Internet of Things; Community of practice,,"Industry 4.0 is currently transforming industrial workplaces into sensor-assisted high-tech environments. While it is often feared that jobs will be lost through increasing automation, we are convinced that there is an enormous potential for versatile and competent workers at innovative workplaces. Training at the workplace may contribute to this. In this context, both body-near wearables and industrial devices produce an enormous amount of data. However, the question is how to deal with this amount of data. To this end, visual analytics is a combination of computational techniques from data mining and machine learning with human perceptional methods from human-computer interaction. In this article we present a method and tool support to create rich and interactive visual analytics charts to analyze innovative training solutions in high-tech workplace settings. This brings together the computer's capacities to handle large data and calculation resources with the human ability to quickly grasp relationships. Our technical evaluation shows, that the approach is feasible from a computational perspective; usability tests revealed that the developed pipeline metaphor reaches its goal. Our results may help in designing future systems that fulfill the needs of both trainers and learners in Industry 4.0 settings."
