Title,Abstract,Author Keywords,Index Keywords
Big data and the measurement of public organizations’ performance and efficiency: The state-of-the-art,"The increasing availability of statistical data raises opportunities for ‘big’ data and learning analytics. Here, we review the academic literature and research relating to the use of big data analytics in the public sector, and its contribution to public organizations’ performance and efficiency. We outline the advantages as well as the limitations of using big data in public sector organizations and identify research gaps in recent studies and interesting areas for future research. © 2017, © The Author(s) 2017.",Big data; efficiency analysis; learning analytics; performance analysis; public sector performance,
Big data and learning analytics: Singular or plural?,"Recent critiques of both the uses of and discourse surrounding big data have raised important questions as to the extent to which big data and big data techniques should be embraced. However, while the context-dependence of data has been recognized, there remains a tendency among social theorists and other commentators to treat certain aspects of the big data phenomenon, including not only the data but also the methods and tools used to move from data as database to data that can be interpreted and assigned meaning, in a homogenizing way. In this paper, we seek to challenge this tendency, and to explore the ways in which explicit consideration of the plurality of big data might inform particular instances of its exploitation. We compare one currently popular big data-inspired innovation - learning analytics - with three other big data contexts - the physical sciences, business intelligence and public health. Through these comparisons, we highlight some dangers of learning analytics implemented without substantial theoretical, ethical and design effort. In so doing, we also highlight just how plural data, analytical approaches and intentions are, and suggest that each new big data context needs to be recognized in its own singularity. © First Monday.",,
Predictive analytics for e learning system,"E Learning courses are much in demand in recent times. The need to study student's performance and predicting their performance is increasing along with it. With the growing popularity of educational technology, various data mining algorithms suitable for predicting student performance have been reviewed. The best algorithm depends on the nature of prediction the faculty wants to make. As the amount of student data is increasing the need to address the complexities of data relation and their processing is a challenge to find the student at risk of failing. This paper covers the Decision Tree Approach for Predictive Analytics of student's performance and its Big Data Implication. © 2017 IEEE.",Big Data; Decision Tree; E-Learning; Educational Data Mining; Predictive Analytics,Data mining; Decision trees; E-learning; Education; Forecasting; Predictive analytics; Students; Teaching; Trees (mathematics); Data mining algorithm; E-learning course; Educational data mining; Student performance; Student's performance; Big data
Language E-learning based on learning analytics in big data era,"Language E-learning, an online language learning mode, completely transforms the traditional learning and teaching mode. However, with the coming of Big Data era, it not only enjoys some benefits, but also is confronted with great challenges. The article first concludes the reforms Big Data brought to the world, and then introduces the definition, key elements, the applying model, main analyzing methods and tools of learning analytics. Finally, the article fully shows the implementation of learning analytics to the study of language E-learning. Through the study of learning analytics, the designer of Language E-learning can learn the learners' learning behaviors and provide the efficient learning material, tools and systems. © 2018 Association for Computing Machinery.",Big Data; Language E-learning; Learning analytics,E-learning; Efficient learning; Key elements; Learning analytics; Learning behavior; Online languages; Traditional learning; Big data
Predicting students' academic performance: Levy search of cuckoo-based hybrid classification,"Educational Data Mining (EDM) exists as a novel trend in the Knowledge Discovery in Databases (KDD) and Data Mining (DM) field that concerns in mining valuable patterns and finding out practical knowledge from the educational systems. However, evaluating the educational performance of students is challenging as their academic performance pivots on varied constraints. Hence, this paper intends to predict the educational performance of students based on socio-demographic information. To attain this, performance prediction architecture is introduced with two modules. One module is for handling the big data via MapReduce (MR) framework, whereas the second module is an intelligent module that predicts the performance of the students using intelligent data processing stages. Here, the hybridisation of classifiers like Support Vector Machine (SVM) and Deep Belief Network (DBN) is adopted to get better results. In DBN, Levy Search of Cuckoo (LC) algorithm is adopted for weight computation. Hence, the proposed prediction model SVM-LCDBN is proposed that makes deep connection with the hybrid classifier to attain more accurate output. Moreover, the adopted scheme is compared with conventional algorithms, and the results are attained. © 2020 Inderscience Enterprises Ltd.",Cuckoo search algorithm; Data mining; Deep belief network; Educational data mining; Levy flight; Map reduce framework; Support vector machine,Forecasting; Predictive analytics; Students; Support vector machines; Conventional algorithms; Deep belief network (DBN); Demographic information; Educational data minings (EDM); Educational performance; Intelligent data processing; Knowledge discovery in database; Performance prediction; Data mining
Using factorization machines for student modeling,"Predicting student performance (PSP), one of the task in Student Modeling, has been taken into account by educational data mining community recently. Previous works show that good results can be achieved by casting the PSP to rating prediction task in recommender systems, where students, tasks and performance scores are mapped to users, items and ratings respectively, and thus, matrix factorization -one of the most prominent approaches for rating prediction task - is an appropriate choice. In this work, we propose using Factorization Machines which combine the advantages of Support Vector Machines with factorization models for the problem of PSP. Experiments on two large data sets show that this approach can improve the prediction results over the standard matrix factorization.",,Educational data mining; Factorization machines; Factorization model; Large datasets; Matrix factorizations; Prediction tasks; Student Modeling; Student performance; Factorization; Forecasting; Mathematical models; Students
"Big data and learning analytics in higher education: Demystifying variety, acquisition, storage, NLP and analytics","Different sectors have sought to take advantage of opportunities to invest in big data analytics and Natural language processing, in order to improve their productivity and competitiveness. Current challenges facing the higher education sector include a rapidly changing and evolving environment, which necessitates the development of new ways of thinking. Interest has therefore increased in analytics as part of the solution to many issues in higher education, including rate of student attrition and learner support. This study provides a comprehensive discussion on big data, learning analytics and use of NLP in higher education. In addition, it introduces an integrated learning analytics solution leveraging a distributed technology system capable of supporting academic authorities and advisors at educational institutions in making decisions concerning individual students. © 2017 IEEE.",Big Data; Decision Support System; Higher Education; Learning Analytics; NLP,Artificial intelligence; Decision support systems; Digital storage; Natural language processing systems; Students; Big Data Analytics; Distributed technologies; Educational institutions; Higher education; Integrated learning; Learning analytics; Productivity and competitiveness; Ways of thinking; Big data
Data mining and machine learning in education with focus in undergraduate cs student success,"Computer science (CS) enrollments are at an all-time high, [1] and successful undergraduate CS graduations are indisputably important. With a student population of approximately 51,000, Georgia State University is a USA based state university which is diverse and forms a rich big data footprint as students navigate pathways to graduation. Quoted in a July 2017 article from HigherEd.com, ""Georgia State's extensive predictive analytics efforts are leading to better grades and student retention - and more minorities graduating from STEM programs."" This doctoral project builds upon current data mining and modeling, machine learning applications, and learning analytics for predicting student success that is beyond retention. Gaining knowledge of CS student learning, developing better alerting models for success, and discovering behavioral indicators from learning analytics reporting is the goal of this research. Using this knowledge as evidence based data for improving the CS student experience will aid in performance improvements and increase pathways to graduation. My supporting research project is building CS student datasets to represent the student as directed graphical models, investigating their relationships using machine learning frameworks, and complex mathematical computations (tensors or gradient boosting) along with graph data mining techniques. © 2018 Copyright held by the owner/author(s).",Educational data mining; Graduation pathways; Graph data mining; STEM student retention,Adaptive boosting; Artificial intelligence; Big data; Data mining; Directed graphs; Education computing; Learning systems; Population statistics; Predictive analytics; Behavioral indicators; Educational data mining; Graduation pathways; Graph data; Machine learning applications; Mathematical computation; Performance improvements; Student retention; Students
Utilization of RFID analytics in assessing student engagement,"The teaching and learning methods are increasingly adopting educational data mining approaches. This ever-changing landscape has allowed management to use educational data for strategic decision-making, offered students with relevant information to improve academic performance, and provided teachers with data on learners' behavior for effective teaching. To assess academically at-risk students, teachers need to gain valuable insights on student engagement, which includes class attendance, library and computer laboratory access, and use of other learning resources so that they can tailor the learning needs of students. Data analytics is used to examine student engagement inside and outside the classroom and predict learning trends. The popularity of Internet of Things and the convergence of RFID, Wireless Sensor Networks, Big Data, and Cloud Computing have enabled organizations to implement innovative information systems; however, their integrative potential has not been thoroughly explored. Having an RFID in combination with data analytics will provide various academic stakeholders valuable and critical information as regards students' learning behavior. Therefore, this paper reviews current trends of RFID in education and discusses opportunities of data analytics integration. Moreover, this paper also presents a conceptual framework of a basic RFID Analytic System that can be used in assessing student engagement. © 2017 IEEE.",data analytics; IoT; RFID; student engagement,Big data; Data mining; Decision making; Distributed computer systems; Internet of things; Radio frequency identification (RFID); Risk assessment; Teaching; Wireless sensor networks; Academic performance; Computer laboratory; Conceptual frameworks; Data analytics; Educational data mining; Strategic decision making; Student engagement; Teaching and learning methods; Students
Mining educational game data: Uncovering complex mechanisms behind learning,"Data Mining refers to methods to find patterns, dependencies or other meaningful information from large data sets. Common methods for data mining are based on regression analysis, Bayesian models, clustering algorithms and neural networks. Data Mining has been successfully applied in science, business and logistics for years. However, educational Data Mining is relatively young discipline focusing on understanding students' use of interactive learning environments. According to original ideas of Data Mining, there are no hypotheses set in advance: the data will reveal the answers. The study focuses on the process of conceptual change (N = 818) while trying to reveal playing behavior that facilitates it and learning transfer. In the paper we briefly describe the conceptual change approach, data mining methods and our research framework for transfer. Finally, the results of the study are presented and discussed. The main result is a finding that difficulties in understanding different numbering systems are mediated by fraction numbers with odd numbered nominators. These results show the strengths of Educational Data Mining: we could point out difficulties and their backgrounds, which would not have been found without mining approach.",Data mining; Education; Games; User modeling,Bayesian networks; Clustering algorithms; Complex networks; Computer aided instruction; Education; Learning systems; Numbering systems; Regression analysis; Complex mechanisms; Conceptual change; Data mining methods; Educational data mining; Games; Interactive learning environment; Research frameworks; User Modeling; Data mining
Monitoring students activities in CS courses,"The act of learning is becoming more and more sophisticated, thanks to several models and tools available today, like MOOCs, personalization, social networks, Web 2.0, gamification and others. This vast landscape leads to a huge amount of datasets thus the Big Data paradigm is also being adopted. Joined with Big Data is the emergency of extracting information about students' learning interactions and return them to teachers (learning analytics). According to this scenario, in this paper we introduce the e-learning platform currently used at University of Catania. The platform also collects data about all these students activities acting as a Big Data base for further learning analytics. © 2016 IEEE.",Big Data; complex networks; e-learning; learning analytics; Social networking; web application,Complex networks; Data mining; E-learning; Education; Education computing; Social networking (online); Students; Teaching; E-learning platforms; Extracting information; Gamification; learning analytics; Learning interactions; Personalizations; Web 2.0; WEB application; Big data
Who prophets from big data in education? New insights and new challenges,"Big Data can radically transform education by enabling personalized learning, deep student modeling, and true longitudinal studies that compare changes across classrooms, regions, and years. With these promises, however, come risks to individual privacy and educational validity, along with deep policy and ethical issues. Education is largely a public service targeted primarily at minors. Participation is compulsory in most advanced societies, and in many ways, it is seen as a fundamental right. Academic success is necessary for advancement, but students often have little individual say in the process. For these reasons, it poses unique policy challenges that do not arise in other domains. Big data requires deep and constant monitoring of students, classes, and instructors. Who consents to such monitoring, and how will student or instructor privacy be preserved? Data also has immense commercial value. Who owns it? And who is permitted to profit from its use? In this article, I will discuss some of these unique issues, and I will outline some potential approaches that may be taken to address them. © 2017, © The Author(s) 2017.",Data-driven assessment; educational data mining; ethics; personalized learning; policy; privacy,
A Study on the Application of Big Data to the Korean College Education System,"Big data are referred to bulk data which cannot be collected, saved, and analyzed with the traditional data analysis tools. The field of learning analysis, which has consistently appeared on the Horizon Report from New Media Consortium for the recent years, is receiving fresh attention with the proliferation of big data. The purpose of this study is to examine the environment for the learning analytics, a branch field of big data, to be applied to the Korean education curricular and its possibility and find out how to improve them. First, as an application of a new technology involves side effects in most cases, it is desirable that potential problems be considered from the beginning and negative effects be minimized. Second, the learning analytics begins with securing sufficient data, and a data exchange system should be established for setting up the data ecology. Third, as big data are applied to public data and the corporate business areas and frequently mentioned in the media, the expectation for their potential growth is reaching its peak. © 2016 Published by Elsevier B.V.",Big-Data; Horizon Report; Learning analytics; Predictive Analytics,Electronic data interchange; College education; Data analysis tool; Data exchange system; Horizon Report; Learning analytics; Potential growth; Potential problems; Predictive analytics; Big data
Assessing learners’ satisfaction in collaborative online courses through a big data approach,"Monitoring learners' satisfaction (LS) is a vital action for collecting precious information and design valuable online collaborative learning (CL) experiences. Today's CL platforms allow students for performing many online activities, thus generating a huge mass of data that can be processed to provide insights about the level of satisfaction on contents, services, community interactions, and effort. Big Data is a suitable paradigm for real-time processing of large data sets concerning the LS, in the final aim to provide valuable information that may improve the CL experience. Besides, the adoption of Big Data offers the opportunity to implement a non-intrusive and in-process evaluation strategy of online courses that complements the traditional and time-consuming ways to collect feedback (e.g. questionnaires or surveys). Although the application of Big Data in the CL domain is a recent explored research area with limited applications, it may have an important role in the future of online education. By adopting the design science research methodology, this article describes a novel method and approach to analyse individual students' contributions in online learning activities and assess the level of their satisfaction towards the course. A software artefact is also presented, which leverages Learning Analytics in a Big Data context, with the goal to provide in real-time valuable insights that people and systems can use to intervene properly in the program. The contribution of this paper can be of value for both researchers and practitioners: the former can be interested in the approach and method used for LS assessment; the latter can find of interest the system implemented and how it has been tested in a real online course. © 2018 Elsevier Ltd",Big data; Clustering; Collaborative learning; Learning analytics; Learning satisfaction; Sentiment analysis,Big data; Curricula; Data handling; Real time systems; Sentiment analysis; Surveys; Clustering; Collaborative learning; Design-science researches; Learning analytics; Learning satisfactions; Level of satisfaction; Online collaborative learning; Online learning activities; E-learning; adoption; article; artifact; big data; collaborative learning; education; human; human experiment; physician; questionnaire; satisfaction; scientist; software; student
"""what in me is Dark, Illumine"": Developing a semantic URL learning analytics solution for Moodle","With the growing prevalence of ""Big Data,"" a significant challenge facing New Zealand's tertiary sector is the transition to becoming data-driven organisations. Learning Analytics is an emerging trend that provides a means to leverage ""Big Data"" in an educational context. However, despite the rhetoric surrounding learning analytics, the reality is that for many organisations existing Learning Analytics solutions present a number of challenges that impede adoption. Existing solutions are expensive, overly complex, or require specialist/external skillsets and infrastructure to implement and maintain. This paper sets out the Eastern Institute of Technology's development of a macro-level learning analytics solution for its Moodle Learning Management System using free, web-based analytical tools. The Institute's goal is to share its solution and development experience, thus furthering the conversation around learning analytics, data governance, and the application of data to enrich decision-making.",Big Data; Blended learning; ITP; Learning analytics; Moodle; Self assessment,Decision making; Semantics; Blended learning; ITP; Learning analytics; Moodle; Self assessment; Big data
Predicting Achievement of Students in Smart Campus,"Isolate data among different campus information systems and not much effective information among the big data generated by these systems cause that it is a challenge for predicting achievement of students. This paper designs a student achievement predicting framework, which includes data processing and student achievement predicting. In the data processing, data extraction, data cleaning, and feature extraction are designed. Using these data in data warehouse, we propose a layer-supervised multi-layer perceptron (MLP)-based method to predict the achievement of students. Supervisions are fed to each corresponding hidden layer of MLP to improve the performance of student achievement prediction. Compared with SVM, Naive Bayes, logistic regression, and MLP, our method gets a better performance. © 2013 IEEE.",Educational data mining; multi-layer perceptron neural network; predict achievement of students; smart campus,Big data; Cleaning; Data handling; Data processing; Data warehouses; Database systems; Extraction; Feature extraction; Forecasting; Network layers; Standards; Students; Campus information systems; Educational data mining; Logistic regressions; Multi layer perceptron; Multi-layer perceptron neural networks; Predict Achievement ofstudents; Smart Campus; Student achievement; Data mining
Educational justice and big data,"This article examines the effects of incorporating information and communication technologies in schools in terms of distributive justice. To do so, four issues that are central to educational justice are discussed: scarcity of resources, the positional nature of education, peer effects, and biases in educational decision-making. The discussion exposes a complicated picture of possible benefits and challenges associated with incorporating data-rich technologies in education. While technology may potentially promote educational justice – by widening access to quality teaching, decreasing biases, and facilitating mixed ability classes – it also creates concerns, related to ensuring equal distribution of technology, preventing biases in educational data mining, and fostering the kind of social relations between students necessary for democratic equality. The article concludes that whether or not information and communication technologies will have a positive impact on educational justice depends, largely, on the way it is developed, designed, and implemented in schools. © 2017, © The Author(s) 2017.",Bias; big data; discrimination; distributive justice; educational equality; peer effects; positional goods,
Factorization models for forecasting student performance,"Predicting student performance (PSP) is one of the educational data mining task, where we would like to know how much knowledge the students have gained and whether they can perform the tasks (or exercises) correctly. Since the student's knowledge improves and cumulates over time, the sequential (temporal) effect is an important information for PSP. Previous works have shown that PSP can be casted as rating prediction task in recommender systems, and therefore, factorization techniques can be applied for this task. To take into account the sequential effect, this work proposes a novel approach which uses tensor factorization for forecasting student performance. With this approach, we can personalize the prediction for each student given the task, thus, it can also be used for recommending the tasks to the students. Experimental results on two large data sets show that incorporating forecasting techniques into the factorization process is a promising approach.",,Educational data mining; Factorization model; Factorization techniques; Forecasting techniques; Know-how; Large datasets; Prediction tasks; Sequential effects; Student performance; Tensor factorization; Data mining; Factorization; Forecasting; Students
The evolution of big data and learning analytics in american higher education,"Data-driven decision making, popularized in the 1980s and 1990s, is evolving into a vastly more sophisticated concept known as big data that relies on software approaches generally referred to as analytics. Big data and analytics for instructional applications are in their infancy and will take a few years to mature, although their presence is already being felt and should not be ignored. While big data and analytics are not panaceas for addressing all of the issues and decisions faced by higher education administrators, they can become part of the solutions integrated into administrative and instructional functions. The purpose of this article is to examine the evolving world of big data and analytics in American higher education. Specifically, it will look at the nature of these concepts, provide basic definitions, consider possible applications, and last but not least, identify concerns about their implementation and growth.",Big data; Data-driven decision making; Higher education; Learning analytics; Planning; Rational decision making,
Validating automated triggers and notifications @ scale in blackboard learn,"Prior research on individual courses has demonstrated a significant relationship between use of the Learning Management System (LMS) and student course grade. Blackboard has created rule-based algorithms in a new LMS interface to notify students and faculty of students who may be at risk based on relative activity and grades received, and recognize positive behavior and grade achievement. This research project investigated the relationships underlying these algorithms against a large data set of LMS activity (1.2M student course weeks, 34,519 courses, 788 institutions). Findings included a small effect size in the relationship between time spent in the LMS and student grade; however, a small set of courses had a strong relationship that merits further research and consideration. © 2016 International Educational Data Mining Society. All rights reserved.",Higher education; Learning analytics; Learning management systems; LMS; Student persistence; Student retention,Data mining; Learning systems; Higher education; Learning analytics; Learning management system; Student persistences; Student retention; Students
On generalizability of MOOC models,"The big data imposes the key problem of generalizability of the results. In the present contribution, we discuss statistical tools which can help to select variables adequate for target level of abstraction. We show that a model considered as over-fitted in one context can be accurate in another. We illustrate this notion with an example analysis experiment on the data from 13 university Massive Online Open Courses (MOOCs). We discuss statistical tools which can be helpful in the analysis of generalizability of MOOC models. © 2016 International Educational Data Mining Society. All rights reserved.",Bias-variance tradeoff; Generalizability; Massive open online courses; MOOCs,E-learning; Statistical mechanics; Bias-variance tradeoffs; Generalizability; Massive open online course; MOOCs; Statistical tools; Target levels; Data mining
Data mining in topology education: Rough set data analysis,"This study explores rough sets, which provide mathematical description for uncertain concepts that can not be defined clearly by traditional logic. The study further examines data mining, which helps to discover meaningful information from large data sets by incorporating it with rough set theory. An investigation in topology instruction was undertaken to exemplify the usability of rough set theory in qualitative data analysis. The study provides an example of educational application of data mining in a topology course. © 2010 Academic Journals.",Artificial intelligence; Educational data mining; Rough sets; Topology,
SmartLAK: A big data architecture for supporting learning analytics services,"In this paper, we present a big data software architecture that uses an ontology, based on the Experience API specification, to semantically represent the data streams generated by the learners when they undertake the learning activities of a course, e.g., in a course. These data are stored in a RDF database to provide a high performance access so learning analytics services can process the large amount of data generated in a virtual learning environment. These services provide valuable information to teachers and instructors such as predict the learner's performance, discover the real learning paths, extract the learner's behavior patterns and so on. The proposed architecture has been validated in the Educational Technology undergraduate course of the Degree in Pedagogy at the Faculty of Education of the University of Santiago de Compostela. © 2015 IEEE.",Big data architecture; Experience API; Learning analytics,Big data; API specifications; Data architectures; Experience API; Learning Activity; Learning analytics; Proposed architectures; Undergraduate Courses; Virtual learning environments; Computer aided instruction
Continuous clustering in big data learning analytics,"Learners' attainment of academic knowledge in postsecondary institutions is predominantly expressed by summative or formative assessment approaches. Recent advances in educational technology has hinted at a means to measure learning efficiency, in terms of personalization of learner competency and capacity in terms of adaptability of observed practices, using raw data observed from study experiences of learners as individuals and as contributors in social networks. While accurate computational models that embody learning efficiency remain a distant and elusive goal, big data learning analytics approaches this goal by recognizing competency growth of learners, at various levels of granularity, using a combination of continuous, formative and summative assessments. This study discusses a method to continuously capture data from students' learning interactions. Then, it analyzes and clusters the data based on their individual performances in terms of accuracy, efficiency and quality by employing Particle Swarm Optimization (PSO) algorithm. © 2013 IEEE.",Big Data; Hadoop; K-Means Clustering; Learning Analytics; Particle Swarm Optimization (PSO)-based Clustering,Efficiency; Engineering education; Particle swarm optimization (PSO); Based clustering; Big datum; Hadoop; K-means clustering; Learning Analytics; Learning systems
Google BigQuery for education: Framework for parsing and analyzing edX MOOC data,"The size and complexity of MOOC data present overwhelming challenges to many institutions. This paper details the functionality of edx2bigquery -An open source Python package developed by Harvard and MIT to ingest and report on hundreds of MITx and HarvardX course datasets from edX, making use of Google BigQuery to handle multiple terabytes of learner data. For this application, we find that Google BigQuery provides ease of use in loading the multi-faceted MOOC datasets and near real-Time interactive querying of data, including large clickstream datasets; moreover, we are able to provide flexible research and reporting dashboards, visualizing and aggregating data, by interfacing services associated with BigQuery. This framework makes it feasible for edx2bigquery to be open source, following standards which emphasize the importance of data products that transcend a particular data science platform and allow teams with diverse backgrounds to interact with data. edx2bigquery is being adopted by other institutions with an aim toward future collaboration. © 2017 ACM.",Big data; BigQuery; Educational data mining; Learning analytics; MOOC,Data mining; BigQuery; Clickstreams; Data products; Educational data mining; Interactive querying; Learning analytics; MOOC; Near-real time; Big data
A model of personalized analysis on students' learning based on big data,"This paper constructed a model of personalized analysis on students' learning based on big data produced by electronic schoolbag. Big data includes structured data, semi-structured data, and unstructured data which are recorded by the e-portfolio system of electronic schoolbag. The theoretical bases of this model are theories including personalized learning, personality psychology, and learning analytics. And there are four analysis dimensions in this model: personalized learning content, personalized learning activities, personalized learning methods, and personalized learning evaluation. The personalized information is classified and gathered based on the support of related system databases of electronic schoolbag. Finally, we reveal the implementation paths from three directions, including personalized pushing of learning resources, personalized monitoring and guiding of learning process, and personalized recommending of learning community. © 2014 Taylor & Francis Group.",Big data; Electronic schoolbag; Implementation path; Learning analytics; Personalized analysis,Intelligent computing; Computation theory; Education; Education computing; Engineering education; Intelligent computing; Learning systems; Students; Big datum; Electronic schoolbag; Implementation path; Learning analytics; Personalized analysis; Learning community; Personalized information; Personalized learning; Semi structured data; Learning systems; Big data
Learning analytics in higher education: A summary of tools and approaches,"Higher education institutions recently have been drawing on methods from learning analytics to make decisions about learners’ academic progress, predictions about future performance and to recognise potential issues. As the use of learning analytics in higher education is a relatively new area of practice and research, the intent of this paper is to provide an overview of learning analytics including a summary of some exemplar tools. Finally we conclude the paper with a discussion on challenges and ethical issues. © 2013 Amara Atif, Deborah Richards, Ayse Bilgin, Mauricio Marrone.",Big data and stakeholders; Higher education; Learner; Learning analytics; Tools,Big data; Tools; Ethical issues; Future performance; Higher education; Higher education institutions; Learner; Learning analytics; Learning systems
Development of learning analytics platform for OUJ online courses,"The Open University of Japan (OUJ) and National Institute of Informatics (NII) have started collaborative study for learning analytics. OUJ is the largest distance education institution in Japan. In the academic year of 2015, OUJ launched interactive online courses. One of the essential features of online courses is the possibility to collect and analyze educational big data. To utilize such educational data, OUJ and NII have developed learning analytics platform for OUJ online courses. In this paper, the features of the system are overviewed. © 2017 IEEE.",Learning Analytics; Online Courses; xAPI,Big data; Curricula; Education institutions; Educational datum; Essential features; Informatics; Learning analytics; Online course; Open universities; xAPI; E-learning
"Big Data: Learning, Analytics, and Aplications","This PDF file contains the front matter associated with SPIE Proceedings Volume 10989, including the title page, copyright information, table of contents, and author and conference committee lists. © COPYRIGHT SPIE. Downloading of the abstract is permitted for personal use only.",,Optical engineering; Copyright informations; PDF files; SPIE proceedings; Table of contents; Big data
E-book-based learning analytics in University education,"This paper provides an overview of the Educational Big Data research project at Kyushu University, Japan. This project uses an e-book system called BookLooper. which allows students to browse e-books in Web browser, PC, mobile devices such as smartphone. This paper shows research issues in this project. Currently, about 2,700 first-year students are using the e-book system and approximately 2.2 million log data have been accumulated as of May 20, 2015. This paper describes why we introduce e-book in the University education and initial findings.",E-book; Educational big data; Learning analytics; Learning log,Big data; Electronic document exchange; Electronic publishing; Students; E-books; First year students; Learning analytics; Learning log; Log data; Research issues; University education; Education
Big data academic and learning analytics: Connecting the dots for academic excellence in higher education,"Purpose: Although big data analytics (BDA) have great benefits for higher education institutions (HEIs), due to lack of sufficient evidence on how BDA investment can pay off, it is tough for HEIs practitioners to realize value from such adoption. The purpose of this paper is to propose a big data academic and learning analytics enabled business value model to explain BDA potential benefits and business value which can be obtained by developing such analytics capabilities in HEIs. Design/methodology/approach: The study examined 47 case descriptions from 26 HEIs to investigate the causal association between the BDA current and potential benefits and business value creation path for big data academic and learning analytics success in HEIs. Findings: The pressure of compliance with all legal and regulatory requirements and competition had pushed HEIs hard to adopt BDA tools. However, the study found out that application of risk and security and predictive analytics to higher education fields is still in its infancy. Using this theoretical model, the results provide new insights to higher education administrators on ways to create BDA capabilities for HEIs transformation and suggest an empirical foundation that can lead to more thorough analysis of BDA implementation. Originality/value: A distinctive theoretical contribution of this study is its conceptualization of understanding business value from BDA in the typical setting of higher education. The study provides HEIs with an all-inclusive understanding of BDA and gives insights on how it helps to transform HEIs. The new perspectives associated with the big data academic and learning analytics enabled business value model will contribute to future research in this area. © 2018, Emerald Publishing Limited.",Big data analytics; Business value,
Educational intelligence: Applying cloud-based big data analytics to the Indian education sector,"Big Data technology is a generic technology, which can be applied to any real-world problem that involves a lot of data. Moreover, the use of cloud-based infrastructure to implement the big data technology makes it a cost-effective solution to the big data problem. One of the fundamental sectors that can benefit from this technology is education and research. The education system can use big data analytics to provide better education and administer the institutional operations. Research, which is an extension of education, can use analytics of big scholar data, for diverse applications, to facilitate research at the individual, team and organization level. With that said, the practical implementation and adoption of big data for education and research, collectively referred to as 'Educational Intelligence', faces several challenges, particularly in a developing country like India. This research paper explores how cloud-based big data analytics can be applied to Indian education and research and reviews the challenges that need to be addressed before the true benefits of this technology can be obtained. © 2016 IEEE.",academic analytics; big data analytics; big data for education; big scholar data; cloud-based big data analytics; educational intelligence; learning analytics,Cost effectiveness; Developing countries; Education; Engineering education; academic analytics; big scholar data; Data analytics; educational intelligence; learning analytics; Big data
Knowledge analytics: A constituent of educational analytics,"Big data has raised challenges and opportunities for the education sector. Educational analytics encompass a variety of computational techniques to process educational big data for effective teaching, learning, research, service, and administrative decision making. Learning analytics and academic analytics have been widely discussed in the literature of education; however, knowledge analytics have not been discussed in the educational analytics field. Knowledge analytics are a relatively new subject in the knowledge management area. Knowledge analytics lie outside of the definitions of learning analytics and academic analytics, and encompass analytical activities for knowledge management among educators in teaching, research, and services. This paper discusses potential applications of knowledge analytics in educational institutions and issues related to implementation of knowledge analytics in the educational environment. Copyright © 2020, IGI Global. Copying or distributing in print or electronic forms without written permission of IGI Global is prohibited.",Academic Analytics; Big Data; Case Study; Educational Analytics; Educational Institution; Knowledge Analytics; Knowledge Management; Learning Analytics,
Design and application of intervention model based on learning analytics under blended learning environment,"The arrival of big data and AI era promote educational reforms, which make personalized learning become normalization. Teaching intervention is an indispensable bridge between big data and students' personalized learning. This study proposes an intervention model based on learning analytics from four iteration modules: data collection, data processing, intervention implementation and effect evaluation, and applies it to blended learning environment. Through one-group pretest-posttest experiment design, the effect of the intervention model were measured by learning engagement and learning achievement. The results show that the intervention model can effectively improve students' behavioral engagement and cognitive engagement as well as learning achievement, especially for risky students. © 2019 Association for Computing Machinery.",Blended learning; Intervention model; Learning analytics; Learning engagement,Big data; Data handling; Education computing; Students; Blended learning; Blended learning environments; Design and application; Intervention models; Learning analytics; Learning engagement; Personalized learning; Teaching intervention; Computer aided instruction
"Profuturo, a social initiative to improve education with e-learning analytical tools","One of the main factors that governments and enterprises have to bridge the digital gap in society is Education. Profuturo is a foundation that develops a proposal on digital education in order to reduce that gap in vulnerable areas working with e-learning programs. These e-learning activities bring them a large data set that can be analyzed with learning analytics tools, such as big data or artificial intelligence technology. The use of these technologies has the aim to improve the learning process in those vulnerable areas and to act in a personal way such as the students have been demanded. This short paper shows how the data analysis obtained from mathematics and linguistic data can be used in order to identify talented students in those areas. © Copyright 2019 IADIS Press All rights reserved.",Artificial Intelligence; Big Data; E-Learning; Online Education; Profuturo Foundation,Artificial intelligence; Big data; Learning systems; Students; Analytical tool; Analytics tools; Artificial intelligence technologies; Large datasets; Learning process; Linguistic data; On-line education; Vulnerable area; E-learning
